fbus,tbus,r,x,b,rateA,rateB,rateC,ratio,angle,status,angmin,angmax
7519,4482,0.0006,0.00616,0,5104,5104,5104,0,0,1,-12.7056495572,12.7056495572
7519,11823,0.0005,0.0074,0,4259,4259,4259,0,0,1,-12.7056495572,12.7056495572
3073,4516,0.00107,0.00626,0,4974,4974,4974,0,0,1,-12.7056495572,12.7056495572
3073,4706,0.000841,0.0055,0,5678,5678,5678,0,0,1,-12.7056495572,12.7056495572
5157,1032,0.00143,0.01563,0,2013,2013,2013,0,0,1,-12.7056495572,12.7056495572
5157,6653,0.00146,0.01692,0,1860,1860,1860,0,0,1,-12.7056495572,12.7056495572
628,7896,7e-05,0.00057,0,55004,55004,55004,0,0,1,-12.7056495572,12.7056495572
628,6592,6e-05,0.00056,0,56085,56085,56085,0,0,1,-12.7056495572,12.7056495572
11792,10888,0.003349,0.01656,0,1870,1870,1870,0,0,1,-12.7056495572,12.7056495572
11792,4609,0.003409,0.016211,0,1907,1907,1907,0,0,1,-12.7056495572,12.7056495572
6573,10888,0.003479,0.01586,0,1946,1946,1946,0,0,1,-12.7056495572,12.7056495572
6573,4609,0.003099,0.017969,0,1733,1733,1733,0,0,1,-12.7056495572,12.7056495572
782,13300,0.00127,0.01842,0,1711,1711,1711,0,0,1,-12.7056495572,12.7056495572
782,1186,0.00126,0.01847,0,1707,1707,1707,0,0,1,-12.7056495572,12.7056495572
11715,924,0.0013,0.01808,0,1743,1743,1743,0,0,1,-12.7056495572,12.7056495572
11715,12182,0.00131,0.01765,0,1785,1785,1785,0,0,1,-12.7056495572,12.7056495572
10257,2582,0.00065,0.01311,0,2891,2891,2891,0,0,1,-12.7056495572,12.7056495572
10257,9363,0.00067,0.00974,0,3851,3851,3851,0,0,1,-12.7056495572,12.7056495572
7595,11501,0.00236,0.01418,0,2198,2198,2198,0,0,1,-12.7056495572,12.7056495572
7595,11390,0.002169,0.015909,0,1968,1968,1968,0,0,1,-12.7056495572,12.7056495572
6873,1806,0.00027,0.00254,0,12367,12367,12367,0,0,1,-12.7056495572,12.7056495572
6873,11151,0.00027,0.00259,0,12131,12131,12131,0,0,1,-12.7056495572,12.7056495572
11949,1806,0.00033,0.00302,0,10398,10398,10398,0,0,1,-12.7056495572,12.7056495572
11949,1269,0.00029,0.00312,0,10081,10081,10081,0,0,1,-12.7056495572,12.7056495572
2623,3359,0.000289,0.00137,0,22560,22560,22560,0,0,1,-12.7056495572,12.7056495572
2623,11159,0.000219,0.00263,0,11969,11969,11969,0,0,1,-12.7056495572,12.7056495572
3020,3359,0.000289,0.001341,0,23027,23027,23027,0,0,1,-12.7056495572,12.7056495572
3020,12995,0.000229,0.00257,0,12243,12243,12243,0,0,1,-12.7056495572,12.7056495572
9670,3359,0.000841,0.00689,0,4551,4551,4551,0,0,1,-12.7056495572,12.7056495572
9670,2360,0.000979,0.00586,0,5317,5317,5317,0,0,1,-12.7056495572,12.7056495572
8390,3359,0.00014,0.0012,0,26146,26146,26146,0,0,1,-12.7056495572,12.7056495572
8390,11515,0.000211,0.001539,0,20335,20335,20335,0,0,1,-12.7056495572,12.7056495572
12630,3359,0.000401,0.004901,0,6424,6424,6424,0,0,1,-12.7056495572,12.7056495572
12630,11515,0.000219,0.00151,0,20703,20703,20703,0,0,1,-12.7056495572,12.7056495572
3340,3359,0.000729,0.004539,0,6872,6872,6872,0,0,1,-12.7056495572,12.7056495572
3340,3953,0.00062,0.00482,0,6500,6500,6500,0,0,1,-12.7056495572,12.7056495572
7444,8848,0.00052,0.00407,0,7699,7699,7699,0,0,1,-12.7056495572,12.7056495572
7444,5026,0.00034,0.00502,0,6278,6278,6278,0,0,1,-12.7056495572,12.7056495572
11055,8848,0.00065,0.00698,0,4506,4506,4506,0,0,1,-12.7056495572,12.7056495572
11055,13067,0.00059,0.00806,0,3909,3909,3909,0,0,1,-12.7056495572,12.7056495572
9857,13125,0.00063,0.00464,0,6746,6746,6746,0,0,1,-12.7056495572,12.7056495572
9857,12598,0.000599,0.005099,0,6153,6153,6153,0,0,1,-12.7056495572,12.7056495572
7256,7011,0.00064,0.00307,0,10073,10073,10073,0,0,1,-12.7056495572,12.7056495572
7256,11232,0.000659,0.003,0,10284,10284,10284,0,0,1,-12.7056495572,12.7056495572
12732,9895,0.00053,0.00528,0,5953,5953,5953,0,0,1,-12.7056495572,12.7056495572
12732,4416,0.00056,0.0053,0,5927,5927,5927,0,0,1,-12.7056495572,12.7056495572
4494,7011,0.0018,0.007919,0,3890,3890,3890,0,0,1,-12.7056495572,12.7056495572
4494,10481,0.001651,0.00862,0,3600,3600,3600,0,0,1,-12.7056495572,12.7056495572
7913,9895,0.00045,0.00545,0,5777,5777,5777,0,0,1,-12.7056495572,12.7056495572
7913,1269,0.00052,0.00476,0,6597,6597,6597,0,0,1,-12.7056495572,12.7056495572
3258,10043,0.01286,0.037421,0,799,799,799,0,0,1,-12.7056495572,12.7056495572
3258,8238,0.032397,0.123,0,249,249,249,0,0,1,-12.7056495572,12.7056495572
697,10043,0.032851,0.069727,0,410,410,410,0,0,1,-12.7056495572,12.7056495572
697,11841,0.059942,0.112802,0,248,248,248,0,0,1,-12.7056495572,12.7056495572
11629,10942,0.00011,0.00109,0,28833,28833,28833,0,0,1,-12.7056495572,12.7056495572
11629,13171,0.00011,0.00107,0,29367,29367,29367,0,0,1,-12.7056495572,12.7056495572
9089,11260,0.000461,0.00395,0,7943,7943,7943,0,0,1,-12.7056495572,12.7056495572
9089,7609,0.000599,0.003789,0,8235,8235,8235,0,0,1,-12.7056495572,12.7056495572
13119,3581,0.00173,0.01542,0,2423,2423,2423,0,0,1,-12.7056495572,12.7056495572
13119,6381,0.00166,0.02083,0,1799,1799,1799,0,0,1,-12.7056495572,12.7056495572
5075,13106,0.006314,0.018488,0,1617,1617,1617,0,0,1,-12.7056495572,12.7056495572
5075,9503,0.015727,0.037669,0,774,774,774,0,0,1,-12.7056495572,12.7056495572
11048,10312,0.00374,0.02095,0,1485,1485,1485,0,0,1,-12.7056495572,12.7056495572
