2,startup,shutdown,n,c2,c1,c0
2,0,0,3,0,2.384,-127.7
2,0,0,3,0,2.517,-127.9
2,0,0,3,0,2.463,-112.9
2,0,0,3,0,2.281,-33.76
2,0,0,3,0,2.386,-33.76
2,0,0,3,0.001729,14.43,0
2,0,0,3,0.001729,13.91,0
2,0,0,3,0.001729,13.71,0
2,0,0,3,0.001729,13.69,0
2,0,0,3,0,15.22,-330.9
2,0,0,3,0,19.49,-640.4
2,0,0,3,0,20.02,-640.4
2,0,0,3,0.03226,10.95,-4.868
2,0,0,3,0.03228,10.9,-4.254
2,0,0,3,0.001777,13.37,-1.542
2,0,0,3,0,16.9,-213.8
2,0,0,3,0,15.73,-1064
2,0,0,3,0.004972,14.9,0
2,0,0,3,0.004972,14.42,0
2,0,0,3,0.004972,15.07,0
2,0,0,3,0,18.9,-39.1
2,0,0,3,0,16.34,-190.9
2,0,0,3,0,17.03,-201.3
2,0,0,3,0,18.99,-39.1
2,0,0,3,0,18.7,-39.1
2,0,0,3,0,19.08,-39.1
2,0,0,3,0,19.54,-39.1
2,0,0,3,0,19.35,-39.1
2,0,0,3,0,19.36,-39.1
2,0,0,3,0,18.94,-39.1
2,0,0,3,0,19.78,-39.1
2,0,0,3,0.02626,11.91,-10.45
2,0,0,3,0.02626,11.88,-10.45
2,0,0,3,0.02638,12.33,-4.156
2,0,0,3,0.03223,9.66,-6.705
2,0,0,3,0.03223,10.05,-6.687
2,0,0,3,0.03227,9.882,-5.586
2,0,0,3,0.03227,9.801,-5.586
2,0,0,3,0.02636,11.44,-4.796
2,0,0,3,0.02636,11.31,-4.796
2,0,0,3,0.03228,10.68,-4.937
2,0,0,3,0.03228,10.61,-4.937
2,0,0,3,0.03228,10.1,-4.937
2,0,0,3,0.009369,13.78,-1.13
2,0,0,3,0.03227,10.42,-4.989
2,0,0,3,0.03227,10.14,-4.989
2,0,0,3,0.03227,10.34,-4.989
2,0,0,3,0.009368,14.33,-1.304
2,0,0,3,0.09931,0.195,0
2,0,0,3,0.09931,0.1855,0
2,0,0,3,0.09916,0.1885,0
2,0,0,3,0.09916,0.1852,0
2,0,0,3,0.09916,0.193,0
2,0,0,3,0.09907,0.1927,0
2,0,0,3,0.09907,0.189,0
2,0,0,3,0,19.51,-77.06
2,0,0,3,0,18.39,-42.85
2,0,0,3,0.09882,0.1934,0
2,0,0,3,0,0.005882,0
2,0,0,3,0,0.005882,0
2,0,0,3,0.09864,0.187,0
2,0,0,3,0,37.07,-7.176
2,0,0,3,0.09841,0.1964,0
2,0,0,3,0.09841,0.1873,0
2,0,0,3,0,0.8494,0
2,0,0,3,0,0.8444,0
2,0,0,3,0,0.8513,0
2,0,0,3,0,0.852,0
2,0,0,3,0,0.8469,0
2,0,0,3,0,3.982,0
2,0,0,3,0,3.985,0
2,0,0,3,0,3.978,0
2,0,0,3,0,3.462,0
2,0,0,3,0,3.461,0
2,0,0,3,0,3.463,0
2,0,0,3,0,3.415,0
2,0,0,3,0,3.419,0
2,0,0,3,0,3.416,0
2,0,0,3,0,3.422,0
2,0,0,3,0,2.979,0
2,0,0,3,0,2.977,0
2,0,0,3,0,2.981,0
2,0,0,3,0,2.98,0
2,0,0,3,0,2.977,0
2,0,0,3,0,3.032,0
2,0,0,3,0,16.07,-9.875
2,0,0,3,0.001771,13.08,-1.413
2,0,0,3,0.001891,13.65,0
2,0,0,3,0.001893,14.78,0
2,0,0,3,0.001904,14.36,0
2,0,0,3,0.001891,13.59,0
2,0,0,3,0,16.85,-140.3
2,0,0,3,0,16.34,-235.8
2,0,0,3,0,1.33,0
2,0,0,3,0,1.336,0
2,0,0,3,0,1.33,0
2,0,0,3,0,1.33,0
2,0,0,3,0,1.331,0
2,0,0,3,0,17.41,-74.49
2,0,0,3,0.0991,0.1904,0
2,0,0,3,0,16.14,-37.78
2,0,0,3,0,16.73,-37.78
2,0,0,3,0.09858,0.1903,0
2,0,0,3,0.09858,0.1878,0
2,0,0,3,0.09858,0.1878,0
2,0,0,3,0.09858,0.1869,0
2,0,0,3,0.09858,0.1891,0
2,0,0,3,0.09849,0.1857,0
2,0,0,3,0.09849,0.1811,0
2,0,0,3,0.09856,0.1791,0
2,0,0,3,0.09856,0.1799,0
2,0,0,3,0.09856,0.1867,0
2,0,0,3,0,14.85,-20.84
2,0,0,3,0,2.419,-58.27
2,0,0,3,0.03223,9.868,-6.842
2,0,0,3,0.03223,9.978,-6.842
2,0,0,3,0.03223,10.39,-6.842
2,0,0,3,0.03223,9.828,-6.842
2,0,0,3,0.001961,14.04,0
2,0,0,3,0.001961,13.42,0
2,0,0,3,0,15.58,-438.8
2,0,0,3,0.0264,11.8,-1.823
2,0,0,3,0.0264,11.47,-1.823
2,0,0,3,0.0264,11.41,-2.093
2,0,0,3,0,15.78,-111.4
2,0,0,3,0,16.73,-111.4
2,0,0,3,0,19.86,-763.9
2,0,0,3,0,20.24,-763.9
2,0,0,3,0,19.73,-763.9
2,0,0,3,0,21.9,-944.3
2,0,0,3,0,21.25,-919.6
2,0,0,3,0,20.72,-894.9
2,0,0,3,0,20.03,-711.7
2,0,0,3,0,20,-711.7
2,0,0,3,0,19.42,-711.7
2,0,0,3,0.03229,10.22,-4.425
2,0,0,3,0.03229,9.728,-4.425
2,0,0,3,0.03229,9.428,-4.425
2,0,0,3,0.03227,9.929,-3.588
2,0,0,3,0.03227,9.897,-3.588
2,0,0,3,0.03227,9.909,-3.588
2,0,0,3,0.03227,10.5,-5.023
2,0,0,3,0.03227,9.822,-5.023
2,0,0,3,0.03225,10.75,-5.469
2,0,0,3,0.03225,10.09,-5.469
2,0,0,3,0,19.31,-54.68
2,0,0,3,0,19.28,-712.5
2,0,0,3,0,19.79,-712.5
2,0,0,3,0,19.4,-712.5
2,0,0,3,0,19.08,-34.91
2,0,0,3,0,18.56,-34.91
2,0,0,3,0,18.97,-34.91
2,0,0,3,0,15.35,-34.48
2,0,0,3,0,16.51,-34.48
2,0,0,3,0,16.1,-34.48
2,0,0,3,0,16.15,-27.07
2,0,0,3,0,17.04,-6.425
2,0,0,3,0,16.59,-6.425
2,0,0,3,0.03502,9.636,-4.53
2,0,0,3,0.02635,11.01,-4.12
2,0,0,3,0.03229,10.27,-4.176
2,0,0,3,0.09878,0.1845,0
2,0,0,3,0.09878,0.184,0
2,0,0,3,0.09878,0.1871,0
2,0,0,3,0,2.01,0
2,0,0,3,0,2.013,0
2,0,0,3,0,2.013,0
2,0,0,3,0.09858,0.1938,0
2,0,0,3,0.09858,0.1893,0
2,0,0,3,0.09858,0.1945,0
2,0,0,3,0.09858,0.1875,0
2,0,0,3,0.09845,0.1904,0
2,0,0,3,0.09878,0.1903,0
2,0,0,3,0,4.691,0
2,0,0,3,0,4.693,0
2,0,0,3,0,4.69,0
2,0,0,3,0,4.69,0
2,0,0,3,0,1.492,0
2,0,0,3,0,1.487,0
2,0,0,3,0,1.485,0
2,0,0,3,0,2.043,0
2,0,0,3,0,2.043,0
2,0,0,3,0,3.93,0
2,0,0,3,0,3.938,0
2,0,0,3,0,3.931,0
2,0,0,3,0,3.836,0
2,0,0,3,0,3.946,0
2,0,0,3,0,4.084,0
2,0,0,3,0,4.084,0
2,0,0,3,0,3.725,0
2,0,0,3,0,4.297,0
2,0,0,3,0.09845,0.1824,0
2,0,0,3,0.09845,0.18,0
2,0,0,3,0,3.503,0
2,0,0,3,0,4.47,0
2,0,0,3,0,4.505,0
2,0,0,3,0,3.418,0
2,0,0,3,0,3.328,0
2,0,0,3,0,0.002042,0
2,0,0,3,0,2.973,0
2,0,0,3,0,2.979,0
2,0,0,3,0,2.979,0
2,0,0,3,0,3.397,0
2,0,0,3,0,2.898,0
2,0,0,3,0,2.896,0
2,0,0,3,0,3.25,0
2,0,0,3,0,3.314,0
2,0,0,3,0,1.425,0
2,0,0,3,0,1.426,0
2,0,0,3,0.001763,13.42,0
2,0,0,3,0.001702,13.7,0
2,0,0,3,0,2.253,-13.27
2,0,0,3,0,0.004532,0
2,0,0,3,0,0.003128,0
2,0,0,3,0,0.01299,0
2,0,0,3,0,0.005347,0
2,0,0,3,0,0.01341,0
2,0,0,3,0,0.009677,0
2,0,0,3,0,0.003467,0
2,0,0,3,0,0.00601,0
2,0,0,3,0,0.00169,0
2,0,0,3,0,0.004722,0
2,0,0,3,0,0.004675,0
2,0,0,3,0,0.003094,0
2,0,0,3,0,0.01125,0
2,0,0,3,0,0.00822,0
2,0,0,3,0,0.002118,0
2,0,0,3,0,0.01072,0
2,0,0,3,0,0.008501,0
2,0,0,3,0,16.37,-143.8
2,0,0,3,0,0.005667,0
2,0,0,3,0,0.006884,0
2,0,0,3,0,0.00411,0
2,0,0,3,0,0.006891,0
2,0,0,3,0,0.00557,0
2,0,0,3,0.001551,12.93,0
