bus,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin
35250,700,0,378.6,-378.6,1,100,1,725,675
35250,700,0,455.3,-455.3,1,100,1,725,675
35250,700,0,470.3,-470.3,1,100,1,725,675
35251,487.5,127.2,550.5,-296.1,1,100,1,725,250
35252,502.75,101,437.2,-235.2,1,100,1,705.5,300
35252,502.75,101,437.2,-235.2,1,100,1,705.5,300
35252,502.75,101,437.2,-235.2,1,100,1,705.5,300
35252,502.75,101,437.2,-235.2,1,100,1,705.5,300
35254,301.85,57.8,250.2,-134.6,1,100,1,403.7,200
35254,137.05,24.35,105.4,-56.7,1,100,1,170.1,104
35254,137.05,24.35,105.4,-56.7,1,100,1,170.1,104
35254,128.55,24.35,105.4,-56.7,1,100,1,170.1,87
35254,124.55,24.35,105.4,-56.7,1,100,1,170.1,79
35255,700,136.35,590,-317.3,1,100,1,725,675
35255,171,38.95,168.6,-90.7,1,100,1,272,70
35255,171,38.95,168.6,-90.7,1,100,1,272,70
35256,189.6,38.55,166.8,-89.7,1,100,1,269.2,110
35256,204.6,42.85,185.4,-99.7,1,100,1,299.2,110
35256,73,11.75,50.2,-26.7,1,100,1,80,66
35257,216.7,37,160.1,-86.1,1,100,1,258.4,175
35257,200.5,43.8,189.6,-102,1,100,1,306,95
35264,146.8615,26.5,114.7,-61.7,1,100,1,185,108.723
35264,146.7855,26.5,114.7,-61.7,1,100,1,185,108.571
35264,141.525,26.5,114.7,-61.7,1,100,1,185,98.05
35264,141.525,26.5,114.7,-61.7,1,100,1,185,98.05
35264,197.4,21.3,136.6,-94,1,100,1,282,112.8
35264,197.4,21.3,136.6,-94,1,100,1,282,112.8
35265,136.55,13.85,88.7,-61,1,100,1,183.1,90
35265,136.55,13.85,88.7,-61,1,100,1,183.1,90
35265,136.55,13.85,88.7,-61,1,100,1,183.1,90
35265,212.55,29.45,188.9,-130,1,100,1,390.1,35
35272,40,6.8,43.8,-30.2,1,100,1,80,0
35272,40,6.8,43.8,-30.2,1,100,1,80,0
35275,37.5,10.05,45.1,-25,1,100,1,75,0
35275,37.5,10.05,45.1,-25,1,100,1,75,0
35275,37.5,10.05,45.1,-25,1,100,1,75,0
35277,33.75,5.1,32.7,-22.5,1,100,1,67.5,0
35277,33.75,5.1,32.7,-22.5,1,100,1,67.5,0
35279,37.1,4.45,27.3,-18.4,1,100,1,55.2,19
35279,27.6,5.5,23.7,-12.7,1,100,1,38.2,17
35280,26.95,0,23,-23,1,100,1,53.9,0
35281,50.75,3.85,24.9,-17.2,1,100,1,51.5,50
35281,50.75,3.85,24.9,-17.2,1,100,1,51.5,50
35285,23.45,4.2,24,-15.6,1,100,1,46.9,0
35287,9.15,2.5,9.533,-4.533,1,100,1,13.633,4.667
35288,20.25,0,13.3,-13.3,1,100,1,40.5,0
35288,20.25,0,13.3,-13.3,1,100,1,40.5,0
35294,16.85,0,11.1,-11.1,1,100,1,33.7,0
35294,16.85,0,11.1,-11.1,1,100,1,33.7,0
35294,16.85,0,11.1,-11.1,1,100,1,33.7,0
35297,14.6,2.2,14.1,-9.7,1,100,1,29.2,0
35297,14.6,2.2,14.1,-9.7,1,100,1,29.2,0
35297,14.6,2.2,14.1,-9.7,1,100,1,29.2,0
35298,14.4,2.15,13.9,-9.6,1,100,1,28.8,0
35298,14.4,2.15,13.9,-9.6,1,100,1,28.8,0
35298,14.4,2.15,13.9,-9.6,1,100,1,28.8,0
35298,14.4,2.15,13.9,-9.6,1,100,1,28.8,0
35300,12.5,3.2,14.7,-8.3,1,100,1,25,0
35300,12.5,3.2,14.7,-8.3,1,100,1,25,0
35300,12.5,3.2,14.7,-8.3,1,100,1,25,0
35300,12.5,3.2,14.7,-8.3,1,100,1,25,0
35301,12.5,0,12,-12,1,100,1,25,0
35301,12.75,0,12.3,-12.3,1,100,1,25.5,0
35302,19,3.6,15.5,-8.3,1,100,1,25,13
35308,582.5,58.3,373.9,-257.3,1,100,1,725,440
35311,356.95,42.05,269.7,-185.6,1,100,1,556.9,157
35311,354.6,42,269.4,-185.4,1,100,1,556.2,153
35311,353.25,42,269.5,-185.5,1,100,1,556.5,150
35323,126.6,23.35,101.1,-54.4,1,100,1,163.2,90
35323,216.05,21.3,136.6,-94,1,100,1,282.1,150
35330,5.325,0.8125,5.175,-3.55,1,100,1,10.65,0
35330,5.325,0.8125,5.175,-3.55,1,100,1,10.65,0
35330,5.325,0.8125,5.175,-3.55,1,100,1,10.65,0
