bus,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin
17,170,55,120,-10,1.03,233.2,1,200,140
18,170,55,120,-10,1.03,233.2,1,200,140
26,0,0,220,-10,1.03,430.5,0,370,290
26,325,105,220,-10,1.03,421.9,1,360,290
27,325,105,220,-10,1.03,421.9,1,360,290
27,330,105,220,-10,1.03,430.5,1,370,290
27,330,105,220,-10,1.03,430.5,1,370,290
28,0,0,220,-10,1,430.5,0,370,290
28,330,105,220,-10,1,430.5,1,370,290
28,330,105,220,-10,1,430.5,1,370,290
29,330,105,220,-10,1,430.5,1,370,290
29,330,105,220,-10,1,430.5,1,370,290
29,330,105,220,-10,1,430.5,1,370,290
43,175,50,120,-20,1.03,246.2,1,215,135
43,0,0,120,-20,1.03,275.3,0,247.8,135
43,0,0,120,-20,1.03,275.3,0,247.8,135
44,180,50,120,-20,1.03,255,1,225,135
44,180,50,120,-20,1.03,255,1,225,135
44,0,0,120,-20,1.03,255,0,225,135
45,0,0,350,-40,1,610.3,0,500,350
45,425,155,350,-40,1,610.3,1,500,350
55,177.5,50,120,-20,1.03,255,1,225,130
56,177.5,50,120,-20,1.03,255,1,225,130
56,0,0,120,-20,1.03,255,0,225,130
57,177.5,50,120,-20,1,255,1,225,130
58,0,0,120,-20,1,255,0,225,130
58,177.5,50,120,-20,1,255,1,225,130
58,0,0,120,-20,1,255,0,225,130
59,63,14.4,28.8,0,1.03,69.3,1,63,63
78,182.5,55,105,5,1.03,248.3,1,225,140
78,182.5,55,105,5,1.03,248.3,1,225,140
79,0,0,105,5,1.03,243.8,0,220,140
79,0,0,105,5,1.03,248.3,0,225,140
79,182.5,55,105,5,1.03,248.3,1,225,140
82,300,77.5,192,-37,1,425.8,1,380,220
82,295,73.151,174,-27.698,1,408.9,1,370,220
104,172.5,32.5,113,-48,1.03,251.8,1,225,120
105,0,0,113,-48,1.03,251.8,0,225,134
106,99.5,42.5,90,-5,1.03,150,1,120,79
107,99.5,42.5,90,-5,1.03,150,1,120,79
116,0,0,90,-20,1.03,150,0,120,90
117,95,35,90,-20,1.03,150,1,120,70
118,95,50.5,68,33,1.03,129.3,1,110,80
125,187.5,51,113,-11,1.03,242.9,1,215,160
126,182.5,39.5,84,-5,1.03,240.2,1,225,140
126,0,0,80,-5,1.03,229.4,0,215,160
127,182.5,35.75,79,-7.5,1,238.5,1,225,140
127,190,45,100,-10,1,241.7,1,220,160
132,0,0,0,0,1.03,0,0,0,0
132,0,0,0,0,1.03,0,0,0,0
133,0,0,0,0,1.03,0,0,0,0
133,0,0,0,0,1.03,0,0,0,0
134,0,0,90,0,1.03,150,0,120,102
134,110,45.0005,90.001,0,1.03,150,1,120,100
135,0,0,90,0,1.03,150,0,120,102
146,40,5.9995,12,-0.001,1.03,51.4,1,50,30
146,40,5.9995,12,-0.001,1.03,51.4,1,50,30
147,0,0,90,0,1.03,150,0,120,90
148,156,60,120,0,1.03,252.4,1,222,90
148,0,0,120,0,1.03,237.5,0,205,135
148,0,0,120,0,1.03,237.5,0,205,135
148,156,60,120,0,1.03,252.4,1,222,90
150,156,60,120,0,1,252.4,1,222,90
151,156,60,120,0,1,252.4,1,222,90
151,0,0,120,0,1,252.4,0,222,90
155,164.5,60,120,0,1.03,263.9,1,235,94
155,164.5,60,120,0,1.03,263.9,1,235,94
155,0,0,120,0,1.03,237.5,0,205,130
155,182.5,60,120,0,1.03,287.3,1,261,104
156,0,0,120,0,1.03,237.5,0,205,130
156,167.5,60,120,0,1.03,237.5,1,205,130
156,163,60,120,0,1.03,238.4,1,206,120
156,163,60,120,0,1.03,238.4,1,206,120
159,163,60,120,0,1,238.4,1,206,120
165,175,60,120,0,1.03,233.2,1,200,150
165,0,0,120,0,1.03,233.2,0,200,150
166,175,60,120,0,1.03,233.2,1,200,150
165,0,0,120,0,1.03,233.2,0,200,150
205,0,25,80,-30,1,196.1,1,0,0
205,0,25,80,-30,1,196.1,1,0,0
205,0,25,80,-30,1,196.1,1,0,0
206,0,25,80,-30,1,196.1,1,0,0
215,37.079,10,20,0,1.035,58.5,1,37.079,37.079
215,33.708,10,20,0,1.035,53.9,1,33.708,33.708
215,33.708,10,20,0,1.035,53.9,1,33.708,33.708
215,15.506,10,20,0,1.035,30.5,1,15.506,15.506
229,5.5,0.75,1.5,0,1.035,7.3,1,5.5,5.5
230,5.5,3.5,7,0,1.035,10,1,5.5,5.5
239,3,4,8,0,1.035,15.4,1,3,3
246,330,103,220,-14,1.035,430.5,1,370,290
291,2,1,2,0,1.035,3.2,1,2,2
294,2,1,2,0,1.035,4.8,1,2,2
306,9.167,3.5,7,0,1.035,24,1,9.167,9.167
306,16.296,3.5,7,0,1.035,27.9,1,16.296,16.296
306,11.204,6.8085,7.617,6,1.035,31,1,11.204,11.204
306,9.167,3.5,7,0,1.035,26.9,1,9.167,9.167
306,9.167,3.9645,7.929,0,1.035,28.1,1,9.167,9.167
307,36.5,7.5,15,0,1.035,57,1,36.5,36.5
307,36.5,7.5,15,0,1.035,57,1,36.5,36.5
308,32,7.5,15,0,1.035,36.7,1,32,32
308,40,8.4145,16.829,0,1.035,57.5,1,40,40
310,35,10,20,0,1.035,53.9,1,35,35
310,75,12.7995,25.599,0,1.035,103.2,1,75,75
311,45,20,40,0,1.035,64,1,45,45
319,2,1.5,3,0,1.035,4.1,1,2,2
345,1,0.5,1,0,1.035,1.9,1,1,1
362,40,6,12,0,1.035,47.8,1,40,40
363,40,6,12,0,1.035,47.8,1,40,40
364,0,0,12,0,1.035,47.8,0,0,0
364,46,6,12,0,1.035,71,1,46,46
365,40,6,12,0,1.035,47.8,1,40,40
365,40,6,12,0,1.035,47.8,1,40,40
368,1,0.5,1,0,1.035,1.9,1,1,1
382,35,5,10,0,1.035,55.9,1,55,15
382,173,55,120,-10,1.035,255.9,1,226,120
383,35,5,10,0,1.035,55.9,1,55,15
386,2.5,1,2,0,1.035,4.8,1,2.5,2.5
395,1,0.5,1,0,1.035,1.9,1,1,1
421,4,2,4,0,1.035,7.7,1,4,4
426,3,1.5,3,0,1.035,4.5,1,3,3
431,5,4,8,0,1.035,13.6,1,5,5
440,2,1,2,0,1.035,3.6,1,2,2
447,3.5,10,20,0,1.035,21.3,1,3.5,3.5
447,3.5,10,20,0,1.035,21.3,1,3.5,3.5
463,0,1,2,0,1.035,4,1,0,0
482,1.4,0.35,0.7,0,1.035,1.7,1,1.4,1.4
490,3,1.5,3,0,1.035,5.3,1,3,3
522,0,0.5,1,0,1.035,1.9,1,0,0
533,0.5,0.5,1,0,1.035,1.9,1,0.5,0.5
534,35.89,7,14,0,1.035,53.9,1,35.89,35.89
534,22.086,7,14,0,1.035,34.9,1,22.086,22.086
534,22.086,7,14,0,1.035,34.9,1,22.086,22.086
534,72.469,7,14,0,1.035,105.9,1,72.469,72.469
534,72.469,7,14,0,1.035,105.9,1,72.469,72.469
535,24.573,8.75,17.5,0,1.035,36.5,1,24.573,24.573
535,23.805,8.75,17.5,0,1.035,35.6,1,23.805,23.805
535,95.99,8.75,17.5,0,1.035,126.2,1,95.99,95.99
535,80.631,8.75,17.5,0,1.035,106.4,1,80.631,80.631
549,1,0.35,0.7,0,1.035,1.7,1,1,1
557,25.724,2.5255,5.051,0,1.035,34.4,1,25.724,25.724
557,21.184,2.5255,5.051,0,1.035,28.5,1,21.184,21.184
557,19.671,2.5,5,0,1.035,26.5,1,19.671,19.671
557,22.697,2.5255,5.051,0,1.035,30.4,1,22.697,22.697
557,25.724,2.5255,5.051,0,1.035,34.4,1,25.724,25.724
558,31.032,2.532,5.064,0,1.035,34.4,1,31.032,31.032
