bus,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin,Pc1,Pc2,Qc1min,Qc1max,Qc2min,Qc2max,ramp_agc,ramp_10,ramp_30,ramp_q,apf
2,60.3,0,35.83,-35.83,1,100,1,100,20.6,0,0,0,0,0,0,0,0,0,0,100
6,61.435,0,35.79,-35.79,1,100,1,100,22.87,0,0,0,0,0,0,0,0,0,0,100
10,95.83,0,500,-500,1,100,1,115.09,76.57,0,0,0,0,0,0,0,0,0,0,115.087
12,0,0,33.33,-33.33,1,100,0,32.21,17.2,0,0,0,0,0,0,0,0,0,0,32.205
15,60.3,0,35.83,-35.83,1,100,1,100,20.6,0,0,0,0,0,0,0,0,0,0,100
16,61.435,0,35.79,-35.79,1,100,1,100,22.87,0,0,0,0,0,0,0,0,0,0,100
17,0,0,33.33,-33.33,1,100,0,46.49,31.49,0,0,0,0,0,0,0,0,0,0,46.487
24,61.435,0,35.79,-35.79,1,100,1,100,22.87,0,0,0,0,0,0,0,0,0,0,100
26,60.3,0,35.83,-35.83,1,100,1,100,20.6,0,0,0,0,0,0,0,0,0,0,100
27,61.435,0,35.79,-35.79,1,100,1,100,22.87,0,0,0,0,0,0,0,0,0,0,100
30,0,0,33.33,-33.33,1,100,0,31.22,16.21,0,0,0,0,0,0,0,0,0,0,31.215
34,61.435,0,35.79,-35.79,1,100,1,100,22.87,0,0,0,0,0,0,0,0,0,0,100
44,61.435,0,35.79,-35.79,1,100,1,100,22.87,0,0,0,0,0,0,0,0,0,0,100
45,60.3,0,35.83,-35.83,1,100,1,100,20.6,0,0,0,0,0,0,0,0,0,0,100
64,873.77,0,500,-500,1,100,1,1195.77,551.77,0,0,0,0,0,0,0,0,0,0,1195.7679
65,55.595,0,60.05,-60.05,1,100,1,100,11.19,0,0,0,0,0,0,0,0,0,0,100
82,55.595,0,60.05,-60.05,1,100,1,100,11.19,0,0,0,0,0,0,0,0,0,0,100
89,137,14.97,149.7,-119.76,1,100,1,274,0,0,0,0,0,0,0,0,0,0,0,274
96,55.595,0,60.05,-60.05,1,100,1,100,11.19,0,0,0,0,0,0,0,0,0,0,100
105,0,0,33.33,-33.33,1,100,0,297,1.83,0,0,0,0,0,0,0,0,0,0,297
108,144,0,61.1,-61.1,1,100,1,288,0,0,0,0,0,0,0,0,0,0,0,288
117,141,0,61.1,-61.1,1,100,1,282,0,0,0,0,0,0,0,0,0,0,0,282
126,66.345,0,500,-500,1,100,1,92.8,39.89,0,0,0,0,0,0,0,0,0,0,92.804
