bus_i,type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
35308,2,0,0,0,0,1,1,0,500,1,1.1,0.9
35309,2,0,0,0,0,1,1,0,500,1,1.1,0.9
35310,2,0,0,0,0,1,1,0,500,1,1.1,0.9
35311,2,0,0,0,0,1,1,0,500,1,1.1,0.9
35312,1,0,0,0,0,1,1,0,500,1,1.1,0.9
35313,1,0,0,0,0,1,1,0,500,1,1.1,0.9
35314,1,0,0,0,0,1,1,0,500,1,1.1,0.9
35315,1,0,0,0,0,1,1,0,500,1,1.1,0.9
35316,2,0,0,0,0,1,1,0,500,1,1.1,0.9
35317,1,0,0,0,0,1,1,0,500,1,1.1,0.9
35318,1,0,0,0,0,1,1,0,500,1,1.1,0.9
35319,1,0,0,0,0,1,1,0,500,1,1.1,0.9
35320,1,0,0,0,0,1,1,0,500,1,1.1,0.9
35321,1,0,0,0,0,1,1,0,500,1,1.1,0.9
35322,2,0,0,0,0,1,1,0,500,1,1.1,0.9
35323,2,0,0,0,0,1,1,0,500,1,1.1,0.9
35324,1,0,0,0,0,1,1,0,500,1,1.1,0.9
35325,1,0,0,0,0,1,1,0,500,1,1.1,0.9
35326,2,0,0,0,0,1,1,0,138,1,1.1,0.9
35327,1,0,0,0,0,1,1,0,500,1,1.1,0.9
35328,1,0,0,0,0,1,1,0,138,1,1.1,0.9
35329,1,0,0,0,0,1,1,0,500,1,1.1,0.9
35330,2,0,0,0,0,1,1,0,138,1,1.1,0.9
35331,2,0,0,0,0,1,1,0,138,1,1.1,0.9
35332,2,0,0,0,0,1,1,0,138,1,1.1,0.9
35333,2,0,0,0,0,1,1,0,500,1,1.1,0.9
35334,1,0,0,0,0,1,1,0,230,1,1.1,0.9
35335,2,0,0,0,0,1,1,0,138,1,1.1,0.9
35336,2,0,0,0,0,1,1,0,138,1,1.1,0.9
35337,2,0,0,0,0,1,1,0,138,1,1.1,0.9
35338,1,0,0,0,0,1,1,0,345,1,1.1,0.9
35339,1,0,0,0,0,1,1,0,500,1,1.1,0.9
35340,1,0,0,0,0,1,1,0,345,1,1.1,0.9
35341,1,0,0,0,0,1,1,0,500,1,1.1,0.9
