bus,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin
101,18,5,10,0,1,100,1,20,16
101,18,5,10,0,1,100,1,20,16
101,45.6,2.5,30,-25,1,100,1,76,15.2
101,45.6,2.5,30,-25,1,100,1,76,15.2
102,18,5,10,0,1,100,1,20,16
102,18,5,10,0,1,100,1,20,16
102,45.6,2.5,30,-25,1,100,1,76,15.2
102,45.6,2.5,30,-25,1,100,1,76,15.2
107,62.5,30,60,0,1,100,1,100,25
107,62.5,30,60,0,1,100,1,100,25
107,62.5,30,60,0,1,100,1,100,25
113,133,40,80,0,1,100,1,197,69
113,133,40,80,0,1,100,1,197,69
113,133,40,80,0,1,100,1,197,69
114,0,75,200,-50,1,100,1,0,0
115,7.2,3,6,0,1,100,1,12,2.4
115,7.2,3,6,0,1,100,1,12,2.4
115,7.2,3,6,0,1,100,1,12,2.4
115,7.2,3,6,0,1,100,1,12,2.4
115,7.2,3,6,0,1,100,1,12,2.4
115,104.65,15,80,-50,1,100,1,155,54.3
116,104.65,15,80,-50,1,100,1,155,54.3
118,250,75,200,-50,1,100,1,400,100
121,250,75,200,-50,1,100,1,400,100
122,30,3,16,-10,1,100,1,50,10
122,30,3,16,-10,1,100,1,50,10
122,30,3,16,-10,1,100,1,50,10
122,30,3,16,-10,1,100,1,50,10
122,30,3,16,-10,1,100,1,50,10
122,30,3,16,-10,1,100,1,50,10
123,104.65,15,80,-50,1,100,1,155,54.3
123,104.65,15,80,-50,1,100,1,155,54.3
123,245,62.5,150,-25,1,100,1,350,140
201,18,5,10,0,1,100,1,20,16
201,18,5,10,0,1,100,1,20,16
201,45.6,2.5,30,-25,1,100,1,76,15.2
201,45.6,2.5,30,-25,1,100,1,76,15.2
202,18,5,10,0,1,100,1,20,16
202,18,5,10,0,1,100,1,20,16
202,45.6,2.5,30,-25,1,100,1,76,15.2
202,45.6,2.5,30,-25,1,100,1,76,15.2
207,62.5,30,60,0,1,100,1,100,25
207,62.5,30,60,0,1,100,1,100,25
207,62.5,30,60,0,1,100,1,100,25
213,133,40,80,0,1,100,1,197,69
213,133,40,80,0,1,100,1,197,69
213,133,40,80,0,1,100,1,197,69
214,0,75,200,-50,1,100,1,0,0
215,7.2,3,6,0,1,100,1,12,2.4
215,7.2,3,6,0,1,100,1,12,2.4
215,7.2,3,6,0,1,100,1,12,2.4
215,7.2,3,6,0,1,100,1,12,2.4
215,7.2,3,6,0,1,100,1,12,2.4
215,104.65,15,80,-50,1,100,1,155,54.3
216,104.65,15,80,-50,1,100,1,155,54.3
218,250,75,200,-50,1,100,1,400,100
221,250,75,200,-50,1,100,1,400,100
222,30,3,16,-10,1,100,1,50,10
222,30,3,16,-10,1,100,1,50,10
222,30,3,16,-10,1,100,1,50,10
222,30,3,16,-10,1,100,1,50,10
222,30,3,16,-10,1,100,1,50,10
222,30,3,16,-10,1,100,1,50,10
223,104.65,15,80,-50,1,100,1,155,54.3
223,104.65,15,80,-50,1,100,1,155,54.3
223,245,62.5,150,-25,1,100,1,350,140
301,18,5,10,0,1,100,1,20,16
301,18,5,10,0,1,100,1,20,16
301,45.6,2.5,30,-25,1,100,1,76,15.2
301,45.6,2.5,30,-25,1,100,1,76,15.2
302,18,5,10,0,1,100,1,20,16
302,18,5,10,0,1,100,1,20,16
302,45.6,2.5,30,-25,1,100,1,76,15.2
302,45.6,2.5,30,-25,1,100,1,76,15.2
307,62.5,30,60,0,1,100,1,100,25
307,62.5,30,60,0,1,100,1,100,25
307,62.5,30,60,0,1,100,1,100,25
313,133,40,80,0,1,100,1,197,69
313,133,40,80,0,1,100,1,197,69
313,133,40,80,0,1,100,1,197,69
314,0,75,200,-50,1,100,1,0,0
315,7.2,3,6,0,1,100,1,12,2.4
315,7.2,3,6,0,1,100,1,12,2.4
315,7.2,3,6,0,1,100,1,12,2.4
315,7.2,3,6,0,1,100,1,12,2.4
315,7.2,3,6,0,1,100,1,12,2.4
315,104.65,15,80,-50,1,100,1,155,54.3
316,104.65,15,80,-50,1,100,1,155,54.3
318,250,75,200,-50,1,100,1,400,100
321,250,75,200,-50,1,100,1,400,100
322,30,3,16,-10,1,100,1,50,10
322,30,3,16,-10,1,100,1,50,10
322,30,3,16,-10,1,100,1,50,10
322,30,3,16,-10,1,100,1,50,10
322,30,3,16,-10,1,100,1,50,10
322,30,3,16,-10,1,100,1,50,10
323,104.65,15,80,-50,1,100,1,155,54.3
323,104.65,15,80,-50,1,100,1,155,54.3
323,245,62.5,150,-25,1,100,1,350,140
