bus,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin
913,1133.335,251.085,772.11,-269.94,1,100,1,1700,566.67
2107,1000,202.14,661.9,-257.62,1,100,1,1500,500
2267,333.335,74.665,228.16,-78.83,1,100,1,500,166.67
3659,1333.335,330.815,943.64,-282.01,1,100,1,2000,666.67
4586,-313.8,31.575,92.96,-29.81,1,100,1,100,-727.6
5097,14.155,2.4,8.91,-4.11,1,100,1,21.23,7.08
6233,800,177.855,545.68,-189.97,1,100,1,1200,400
6798,666.665,123.065,429.61,-183.48,1,100,1,1000,333.33
7279,-404.465,4.07,14.78,-6.64,1,100,1,100,-908.93
7960,400,90.49,274.2,-93.22,1,100,1,600,200
8605,400,90.145,273.94,-93.65,1,100,1,600,200
9239,400,90.49,274.2,-93.22,1,100,1,600,200
